window_begin_s,window_end_s,field,current_windows_value,step_aggregation_method,step_aggregate_value,native_source,native_value,current_vs_step_numeric_match,step_vs_native_numeric_match,step_vs_native_semantics,step_vs_native_semantic_status,step_vs_native_reconciliation_status,step_vs_native_explanation,current_vs_native_numeric_match,current_vs_interval_semantics,reconciliation_status,note
30,60,bottleneck_flow_veh,0,sum_last_step_vehicle_number_30s,0,interval.nVehEntered,0,YES,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator sums last-step vehicle observations; native comparison uses interval nVehEntered while nVehContrib may differ at interval boundaries,YES,DIFFERENT,INCONSISTENT,current is last-step snapshot; native nVehContrib=0
30,60,bottleneck_occupancy,0.0,mean_last_step_occupancy_fraction_30s,0.0,interval.occupancy/100,0.0,YES,YES,DIFFERENT_EXPOSURE_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator averages 30 one-second occupancy samples; native occupancy is detector interval exposure and handles partial boundary occupancy in its native population,YES,DIFFERENT,INCONSISTENT,current is last-step snapshot; step/native are interval exposure
30,60,ramp_queue_veh,0,mean_lanearea_vehicle_count_30s,0.5,interval.meanVehicleNumber,0.5,NO,YES,SAME_TIME_MEAN_WITH_NATIVE_ROUNDING,SAME,CONSISTENT,step arithmetic mean and native meanVehicleNumber target the same 30-second time mean; XML is rounded to two decimals,NO,DIFFERENT,INCONSISTENT,current is endpoint snapshot; step max=1
30,60,alinea_requested_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
30,60,alinea_applied_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
30,60,departed_veh,22,cumulative_sum_of_step_departures,22,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=11
30,60,arrived_veh,0,cumulative_sum_of_step_arrivals,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=0
30,60,teleports,0,cumulative_sum_of_step_starting_teleports,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=0
60,90,experiment_id,main1200_ramp120_none_seed0_9587c551,constant_scenario_identity,main1200_ramp120_none_seed0_9587c551,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no experiment id
60,90,controller,none,constant_controller,none,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no controller
60,90,seed,0,constant_seed,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no seed
60,90,time_s,90,30_step_rows_window_end,90,interval.end,90,YES,YES,SAME_INTERVAL_END,SAME,CONSISTENT,step block and native interval use the same end time,YES,SAME,CONSISTENT,aligned interval end
60,90,mainline_vph,1200,constant_demand,1200,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
60,90,ramp_vph,120,constant_demand,120,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
60,90,mean_speed_mps,0.0,vehicle_exposure_weighted_across_30s_and_5_loops,31.424800287997154,5_interval_speed_weighted_by_nVehContrib,31.427857142857142,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is unweighted mean of five last-step speeds at window end
60,90,upstream_speed_mps,-1.0,vehicle_exposure_weighted_across_30s,,interval.speed,,NA,NA,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NA,DIFFERENT,INCONSISTENT,current is last-step snapshot at window end
60,90,bottleneck_flow_veh,0,sum_last_step_vehicle_number_30s,0,interval.nVehEntered,0,YES,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator sums last-step vehicle observations; native comparison uses interval nVehEntered while nVehContrib may differ at interval boundaries,YES,DIFFERENT,INCONSISTENT,current is last-step snapshot; native nVehContrib=0
60,90,bottleneck_occupancy,0.0,mean_last_step_occupancy_fraction_30s,0.0,interval.occupancy/100,0.0,YES,YES,DIFFERENT_EXPOSURE_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator averages 30 one-second occupancy samples; native occupancy is detector interval exposure and handles partial boundary occupancy in its native population,YES,DIFFERENT,INCONSISTENT,current is last-step snapshot; step/native are interval exposure
60,90,ramp_queue_veh,0,mean_lanearea_vehicle_count_30s,0.6333333333333333,interval.meanVehicleNumber,0.63,NO,YES,SAME_TIME_MEAN_WITH_NATIVE_ROUNDING,SAME,CONSISTENT,step arithmetic mean and native meanVehicleNumber target the same 30-second time mean; XML is rounded to two decimals,NO,DIFFERENT,INCONSISTENT,current is endpoint snapshot; step max=1
60,90,alinea_requested_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
60,90,alinea_applied_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
60,90,departed_veh,33,cumulative_sum_of_step_departures,33,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=11
60,90,arrived_veh,0,cumulative_sum_of_step_arrivals,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=0
60,90,teleports,0,cumulative_sum_of_step_starting_teleports,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=0
90,120,experiment_id,main1200_ramp120_none_seed0_9587c551,constant_scenario_identity,main1200_ramp120_none_seed0_9587c551,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no experiment id
90,120,controller,none,constant_controller,none,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no controller
90,120,seed,0,constant_seed,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no seed
90,120,time_s,120,30_step_rows_window_end,120,interval.end,120,YES,YES,SAME_INTERVAL_END,SAME,CONSISTENT,step block and native interval use the same end time,YES,SAME,CONSISTENT,aligned interval end
90,120,mainline_vph,1200,constant_demand,1200,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
90,120,ramp_vph,120,constant_demand,120,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
90,120,mean_speed_mps,30.880494092617862,vehicle_exposure_weighted_across_30s_and_5_loops,32.18942678373887,5_interval_speed_weighted_by_nVehContrib,32.189375,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is unweighted mean of five last-step speeds at window end
90,120,upstream_speed_mps,-1.0,vehicle_exposure_weighted_across_30s,33.32999998185737,interval.speed,33.33,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is last-step snapshot at window end
90,120,bottleneck_flow_veh,0,sum_last_step_vehicle_number_30s,0,interval.nVehEntered,0,YES,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator sums last-step vehicle observations; native comparison uses interval nVehEntered while nVehContrib may differ at interval boundaries,YES,DIFFERENT,INCONSISTENT,current is last-step snapshot; native nVehContrib=0
90,120,bottleneck_occupancy,0.0,mean_last_step_occupancy_fraction_30s,0.0,interval.occupancy/100,0.0,YES,YES,DIFFERENT_EXPOSURE_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator averages 30 one-second occupancy samples; native occupancy is detector interval exposure and handles partial boundary occupancy in its native population,YES,DIFFERENT,INCONSISTENT,current is last-step snapshot; step/native are interval exposure
90,120,ramp_queue_veh,0,mean_lanearea_vehicle_count_30s,0.4666666666666667,interval.meanVehicleNumber,0.47,NO,YES,SAME_TIME_MEAN_WITH_NATIVE_ROUNDING,SAME,CONSISTENT,step arithmetic mean and native meanVehicleNumber target the same 30-second time mean; XML is rounded to two decimals,NO,DIFFERENT,INCONSISTENT,current is endpoint snapshot; step max=1
90,120,alinea_requested_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
90,120,alinea_applied_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
90,120,departed_veh,44,cumulative_sum_of_step_departures,44,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=11
90,120,arrived_veh,1,cumulative_sum_of_step_arrivals,1,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=1
90,120,teleports,0,cumulative_sum_of_step_starting_teleports,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=0
120,150,experiment_id,main1200_ramp120_none_seed0_9587c551,constant_scenario_identity,main1200_ramp120_none_seed0_9587c551,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no experiment id
120,150,controller,none,constant_controller,none,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no controller
120,150,seed,0,constant_seed,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no seed
120,150,time_s,150,30_step_rows_window_end,150,interval.end,150,YES,YES,SAME_INTERVAL_END,SAME,CONSISTENT,step block and native interval use the same end time,YES,SAME,CONSISTENT,aligned interval end
120,150,mainline_vph,1200,constant_demand,1200,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
120,150,ramp_vph,120,constant_demand,120,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
120,150,mean_speed_mps,32.99276584265308,vehicle_exposure_weighted_across_30s_and_5_loops,31.655575033415197,5_interval_speed_weighted_by_nVehContrib,31.654666666666667,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is unweighted mean of five last-step speeds at window end
120,150,upstream_speed_mps,32.99276584265308,vehicle_exposure_weighted_across_30s,32.64108330703827,interval.speed,32.64,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is last-step snapshot at window end
120,150,bottleneck_flow_veh,1,sum_last_step_vehicle_number_30s,2,interval.nVehEntered,2,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator sums last-step vehicle observations; native comparison uses interval nVehEntered while nVehContrib may differ at interval boundaries,NO,DIFFERENT,INCONSISTENT,current is last-step snapshot; native nVehContrib=2
120,150,bottleneck_occupancy,0.15027135146985415,mean_last_step_occupancy_fraction_30s,0.010009545101722021,interval.occupancy/100,0.01,NO,YES,DIFFERENT_EXPOSURE_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator averages 30 one-second occupancy samples; native occupancy is detector interval exposure and handles partial boundary occupancy in its native population,NO,DIFFERENT,INCONSISTENT,current is last-step snapshot; step/native are interval exposure
120,150,ramp_queue_veh,0,mean_lanearea_vehicle_count_30s,0.4,interval.meanVehicleNumber,0.4,NO,YES,SAME_TIME_MEAN_WITH_NATIVE_ROUNDING,SAME,CONSISTENT,step arithmetic mean and native meanVehicleNumber target the same 30-second time mean; XML is rounded to two decimals,NO,DIFFERENT,INCONSISTENT,current is endpoint snapshot; step max=1
120,150,alinea_requested_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
120,150,alinea_applied_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
120,150,departed_veh,55,cumulative_sum_of_step_departures,55,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=11
120,150,arrived_veh,2,cumulative_sum_of_step_arrivals,2,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=1
120,150,teleports,0,cumulative_sum_of_step_starting_teleports,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=0
150,180,experiment_id,main1200_ramp120_none_seed0_9587c551,constant_scenario_identity,main1200_ramp120_none_seed0_9587c551,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no experiment id
150,180,controller,none,constant_controller,none,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no controller
150,180,seed,0,constant_seed,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no seed
150,180,time_s,180,30_step_rows_window_end,180,interval.end,180,YES,YES,SAME_INTERVAL_END,SAME,CONSISTENT,step block and native interval use the same end time,YES,SAME,CONSISTENT,aligned interval end
150,180,mainline_vph,1200,constant_demand,1200,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
150,180,ramp_vph,120,constant_demand,120,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
150,180,mean_speed_mps,0.0,vehicle_exposure_weighted_across_30s_and_5_loops,31.289966830977527,5_interval_speed_weighted_by_nVehContrib,31.290588235294113,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is unweighted mean of five last-step speeds at window end
150,180,upstream_speed_mps,-1.0,vehicle_exposure_weighted_across_30s,32.10871401370732,interval.speed,32.11,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is last-step snapshot at window end
150,180,bottleneck_flow_veh,0,sum_last_step_vehicle_number_30s,3,interval.nVehEntered,2,NO,NO,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator sums last-step vehicle observations; native comparison uses interval nVehEntered while nVehContrib may differ at interval boundaries,NO,DIFFERENT,INCONSISTENT,current is last-step snapshot; native nVehContrib=2
150,180,bottleneck_occupancy,0.0,mean_last_step_occupancy_fraction_30s,0.006955577275199213,interval.occupancy/100,0.0102,NO,NO,DIFFERENT_EXPOSURE_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator averages 30 one-second occupancy samples; native occupancy is detector interval exposure and handles partial boundary occupancy in its native population,NO,DIFFERENT,INCONSISTENT,current is last-step snapshot; step/native are interval exposure
150,180,ramp_queue_veh,0,mean_lanearea_vehicle_count_30s,0.6666666666666666,interval.meanVehicleNumber,0.67,NO,YES,SAME_TIME_MEAN_WITH_NATIVE_ROUNDING,SAME,CONSISTENT,step arithmetic mean and native meanVehicleNumber target the same 30-second time mean; XML is rounded to two decimals,NO,DIFFERENT,INCONSISTENT,current is endpoint snapshot; step max=1
150,180,alinea_requested_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
150,180,alinea_applied_rate_vph,1200.0,constant_no_control_action,1200.0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,not a detector metric
150,180,departed_veh,66,cumulative_sum_of_step_departures,66,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=11
150,180,arrived_veh,2,cumulative_sum_of_step_arrivals,2,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=0
150,180,teleports,0,cumulative_sum_of_step_starting_teleports,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,window increment=0
180,210,experiment_id,main1200_ramp120_none_seed0_9587c551,constant_scenario_identity,main1200_ramp120_none_seed0_9587c551,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no experiment id
180,210,controller,none,constant_controller,none,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no controller
180,210,seed,0,constant_seed,0,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no seed
180,210,time_s,210,30_step_rows_window_end,210,interval.end,210,YES,YES,SAME_INTERVAL_END,SAME,CONSISTENT,step block and native interval use the same end time,YES,SAME,CONSISTENT,aligned interval end
180,210,mainline_vph,1200,constant_demand,1200,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
180,210,ramp_vph,120,constant_demand,120,NA,,YES,NA,NOT_APPLICABLE,NA,NA,native detector XML does not carry this field,NA,SAME,CONSISTENT,native XML has no requested demand
180,210,mean_speed_mps,0.0,vehicle_exposure_weighted_across_30s_and_5_loops,31.86299694815674,5_interval_speed_weighted_by_nVehContrib,31.860000000000003,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is unweighted mean of five last-step speeds at window end
180,210,upstream_speed_mps,-1.0,vehicle_exposure_weighted_across_30s,31.990513391192312,interval.speed,31.98,NO,NO,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,"step estimator weights one-second TraCI means by last-step counts; native speed uses nVehContrib vehicles completing detector traversal in the XML interval, so boundary populations differ",NO,DIFFERENT,INCONSISTENT,current is last-step snapshot at window end
180,210,bottleneck_flow_veh,0,sum_last_step_vehicle_number_30s,5,interval.nVehEntered,5,NO,YES,DIFFERENT_POPULATION_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator sums last-step vehicle observations; native comparison uses interval nVehEntered while nVehContrib may differ at interval boundaries,NO,DIFFERENT,INCONSISTENT,current is last-step snapshot; native nVehContrib=5
180,210,bottleneck_occupancy,0.0,mean_last_step_occupancy_fraction_30s,0.02562527506078235,interval.occupancy/100,0.0256,NO,YES,DIFFERENT_EXPOSURE_AND_BOUNDARY,DIFFERENT,INCONSISTENT,step estimator averages 30 one-second occupancy samples; native occupancy is detector interval exposure and handles partial boundary occupancy in its native population,NO,DIFFERENT,INCONSISTENT,current is last-step snapshot; step/native are interval exposure
180,210,ramp_queue_veh,0,mean_lanearea_vehicle_count_30s,0.4666666666666667,interval.meanVehicleNumber,0.47,NO,YES,SAME_TIME_MEAN_WITH_NATIVE_ROUNDING,SAME,CONSISTENT,step arithmetic mean and native meanVehicleNumber target the same 30-second time mean; XML is rounded to two decimals,NO,DIFFERENT,INCONSISTENT,current is endpoint snapshot; step max=1
